Ticker,TotalPnL,DivCaptured,TradeCount,MarketCap,Segment
NEM,-1009.6135054016113,1114.46,4,119580598272,Large Cap (50B-200B)
HCA,24964.73998577881,8229.478000000001,81,119183925248,Large Cap (50B-200B)
MCK,-4023.35665222168,40.040000000000006,12,116133363712,Large Cap (50B-200B)
MO,62782.56225746155,48288.68,45,113965015040,Large Cap (50B-200B)
SBUX,42820.6574861145,26806.16,83,112961593344,Large Cap (50B-200B)
IBKR,-23538.792846870423,6479.8,117,112523886592,Large Cap (50B-200B)
PH,126440.53225219726,6960.88,65,112315039744,Large Cap (50B-200B)
CME,7934.270059204102,9177.35,19,111952166912,Large Cap (50B-200B)
MDT,31245.282712402346,33182.69,107,111877734400,Large Cap (50B-200B)
COF,22176.670129394537,18766.6,142,111817072640,Large Cap (50B-200B)
GLW,21368.75191780091,22241.210000000003,86,110778253312,Large Cap (50B-200B)
CMCSA,-4782.735011436401,29486.274264,93,109899857920,Large Cap (50B-200B)
SO,78287.57510665894,36186.04,129,109711540224,Large Cap (50B-200B)
CEG,-2018.9638908691413,408.068,6,109237821440,Large Cap (50B-200B)
NOC,5202.984490356445,498.46,9,104715141120,Large Cap (50B-200B)
DUK,-90.2853874206543,84.975,1,103546871808,Large Cap (50B-200B)
DELL,84169.95380020142,17964.625,44,101615747072,Large Cap (50B-200B)
CVS,-18166.132143859864,40130.495,112,96853426176,Large Cap (50B-200B)
WM,9410.202877655029,3022.765,15,96207683584,Large Cap (50B-200B)
EQIX,-820.5585668945314,1239.66,3,95297454080,Large Cap (50B-200B)
HWM,175267.59653296656,3267.572611,105,95291875328,Large Cap (50B-200B)
GD,87118.72818084716,23640.71,95,95047401472,Large Cap (50B-200B)
TT,13347.934901859862,13654.760882999999,94,93662552064,Large Cap (50B-200B)
WDC,3587.821714675537,351.096041,1,93095763968,Large Cap (50B-200B)
ICE,6716.040769653324,13312.205,99,90772422656,Large Cap (50B-200B)
WMB,14333.62861316681,11029.68,22,89589432320,Large Cap (50B-200B)
AMT,-2321.5230023193362,12142.32,56,86330916864,Large Cap (50B-200B)
STX,102928.27393432616,18896.96,38,85960777728,Large Cap (50B-200B)
MRSH,29573.800573577882,14422.24,89,84337950720,Large Cap (50B-200B)
ADP,5050.397926330568,9537.75,60,84335648768,Large Cap (50B-200B)
PWR,-1753.1373020935062,102.32000000000001,5,83640254464,Large Cap (50B-200B)
MAR,10689.886488647457,9593.970000000001,89,83154804736,Large Cap (50B-200B)
FDX,54142.43212615966,3963.37,39,82980814848,Large Cap (50B-200B)
UPS,-1037.4669821166992,599.76,10,82541174784,Large Cap (50B-200B)
PNC,33336.941159362796,41706.87,120,81319657472,Large Cap (50B-200B)
FCX,45934.413859081265,9311.324999999999,53,81029431296,Large Cap (50B-200B)
BK,98291.84833015442,29837.14,125,81011048448,Large Cap (50B-200B)
NKE,-185.21578704833985,18.88,2,79911092224,Large Cap (50B-200B)
JCI,-3818.087174090573,8752.7308,52,79666536448,Large Cap (50B-200B)
MMM,13021.096832447267,26689.190673999998,65,79510634496,Large Cap (50B-200B)
USB,57043.9670072937,49279.39,113,79238479872,Large Cap (50B-200B)
REGN,71246.36648925781,2165.84,14,78842667008,Large Cap (50B-200B)
CTAS,34579.67333564758,9390.85,76,78074658816,Large Cap (50B-200B)
ECL,-4089.38449798584,26.64,10,77657546752,Large Cap (50B-200B)
ITW,-1818.6375567626947,26047.28,115,76946513920,Large Cap (50B-200B)
MCO,-1116.854490051269,1965.99,19,76543442944,Large Cap (50B-200B)
EMR,-28999.97866000366,21036.883,67,74358833152,Large Cap (50B-200B)
RCL,-39730.35106140137,5070.1900000000005,31,74325188608,Large Cap (50B-200B)
KMI,103567.25612948608,66143.207,135,74286284800,Large Cap (50B-200B)
CMI,45115.55274615479,27220.077,95,74016620544,Large Cap (50B-200B)
CSX,2691.5227384567265,0.0,13,73080578048,Large Cap (50B-200B)
EOG,43021.17719648742,46594.059,133,72491155456,Large Cap (50B-200B)
AEP,4516.122009277344,0.0,4,72264507392,Large Cap (50B-200B)
CL,78376.72532470703,26594.33,123,71209525248,Large Cap (50B-200B)
MDLZ,21004.24938468933,28911.425,115,70827778048,Large Cap (50B-200B)
VLO,-866.6300009155275,18838.41,34,70332145664,Large Cap (50B-200B)
RSG,31.115386962890625,48.0,1,69428920320,Large Cap (50B-200B)
PSX,1150.3324584960938,0.0,1,69224529920,Large Cap (50B-200B)
AON,-13590.204053649904,1313.3650000000002,51,69082341376,Large Cap (50B-200B)
TDG,22810.401565551758,21231.5,12,68596183040,Large Cap (50B-200B)
COR,22493.16406555176,17764.325,130,68076015616,Large Cap (50B-200B)
MPC,7979.245131225585,2672.0950000000003,3,67990261760,Large Cap (50B-200B)
HLT,-2149.4880671533215,355.80863999999997,13,67766468608,Large Cap (50B-200B)
TRV,1195.654800415039,450.5,1,67474452480,Large Cap (50B-200B)
LHX,-15352.568242797857,21097.99,105,67144486912,Large Cap (50B-200B)
SLB,36826.910511016846,16575.375,66,67130683392,Large Cap (50B-200B)
ROST,-12207.499819580076,8905.759,103,67087675392,Large Cap (50B-200B)
CRH,3088.053335815428,25935.706000000002,67,66819493888,Large Cap (50B-200B)
NSC,116283.39555297852,23421.11,107,64984408064,Large Cap (50B-200B)
ELV,-1129.722604675293,1380.58,8,64364105728,Large Cap (50B-200B)
APD,27449.061156921387,4370.93,6,64120475648,Large Cap (50B-200B)
DLR,-10784.200385437012,11389.64,36,62828376064,Large Cap (50B-200B)
SRE,36689.398599823,31226.608,97,62133858304,Large Cap (50B-200B)
SPG,46816.46690826416,37519.55,42,60707774464,Large Cap (50B-200B)
PCAR,10424.902927699706,9019.199673,4,60656660480,Large Cap (50B-200B)
APO,-29895.464776153567,6437.38,15,60619337728,Large Cap (50B-200B)
O,-409.4387793762198,20166.057425,177,60301340672,Large Cap (50B-200B)
TEL,25832.71777770996,14199.48,67,58533912576,Large Cap (50B-200B)
BDX,11103.692260814454,7401.771576,66,57735348224,Large Cap (50B-200B)
OXY,-36378.33014286041,17135.62,103,57085112320,Large Cap (50B-200B)
AFL,8307.401390075684,1150.5,1,56134520832,Large Cap (50B-200B)
D,34970.79471902466,55087.471,73,55548035072,Large Cap (50B-200B)
TFC,120943.92738983154,56653.72,85,54751051776,Large Cap (50B-200B)
VST,100764.69382511903,11516.268,33,53856313344,Large Cap (50B-200B)
OKE,138930.29816497804,71417.765,139,53758328832,Large Cap (50B-200B)
BKR,115604.11904575347,30594.52,126,53621710848,Large Cap (50B-200B)
CTVA,25407.764259033203,3192.1800000000003,25,53524729856,Large Cap (50B-200B)
ALL,19514.981946105956,26771.62,112,53508505600,Large Cap (50B-200B)
AJG,-1573.3496115112303,4756.01,37,53458800640,Large Cap (50B-200B)
TGT,25452.85473464966,4156.24,21,53136265216,Large Cap (50B-200B)
PSA,13676.041534423828,5968.0,9,52251779072,Large Cap (50B-200B)
FAST,71395.76535512923,26278.52,127,52203016192,Large Cap (50B-200B)
FANG,-1329.1401290893557,0.0,1,51888930816,Large Cap (50B-200B)
MPWR,-46077.125288848874,3766.62,51,51701112832,Large Cap (50B-200B)
TRGP,24680.489930496216,10620.36,78,51599179776,Large Cap (50B-200B)
XEL,3982.179381439209,919.6719999999999,11,51101749248,Large Cap (50B-200B)
CAH,303.2127733154297,59.717,1,51082399744,Large Cap (50B-200B)
GWW,11622.922584838867,3634.57,61,51065131008,Large Cap (50B-200B)
EXC,-1623.748007345337,437.362781,7,50960510976,Large Cap (50B-200B)
ZTS,38810.14920162964,6915.148,75,50952949760,Large Cap (50B-200B)
EA,-3240.7276217651356,5242.28,58,49860550656,Upper Mid/Large Cap (<50B)
AME,1484.4082684326172,24.48,4,49376428032,Upper Mid/Large Cap (<50B)
NDAQ,-1866.4831321519766,1100.307008,10,48837238784,Upper Mid/Large Cap (<50B)
NXPI,44067.61934768676,16448.495,73,48228958208,Upper Mid/Large Cap (<50B)
FIX,-41844.59140922547,2432.48,63,48158203904,Upper Mid/Large Cap (<50B)
ETR,95490.08013092041,36499.11,85,47826665472,Upper Mid/Large Cap (<50B)
URI,6016.788513183594,0.0,1,46909415424,Upper Mid/Large Cap (<50B)
F,-1875.9255782127384,11168.65,43,46557175808,Upper Mid/Large Cap (<50B)
CARR,16092.504618835452,6975.075,28,46514712576,Upper Mid/Large Cap (<50B)
KR,289.9304618835449,0.0,1,46418399232,Upper Mid/Large Cap (<50B)
GRMN,-28.043643951416016,0.0,2,44948123648,Upper Mid/Large Cap (<50B)
TER,74547.74798194885,4531.67,96,44840759296,Upper Mid/Large Cap (<50B)
MET,54544.48636068322,36703.973076,124,44784865280,Upper Mid/Large Cap (<50B)
YUM,28794.365622095458,10172.211268,68,44535513088,Upper Mid/Large Cap (<50B)
HSY,9574.777669555664,11092.732,65,44022620160,Upper Mid/Large Cap (<50B)
PEG,48196.692613372805,29384.01,73,41794166784,Upper Mid/Large Cap (<50B)
AIG,36663.83279212951,22099.84,77,41407066112,Upper Mid/Large Cap (<50B)
MSCI,-18612.844115295407,1146.46,19,41168953344,Upper Mid/Large Cap (<50B)
VTR,27.144238281249926,3200.8,6,41112989696,Upper Mid/Large Cap (<50B)
AMP,-16925.874681396483,13492.58,108,41071755264,Upper Mid/Large Cap (<50B)
SYY,10255.771668243407,29635.8,94,40943779840,Upper Mid/Large Cap (<50B)
DHI,1752.5926139831543,131.55,4,40896577536,Upper Mid/Large Cap (<50B)
EQT,19751.681150910157,3052.198668,16,40184516608,Upper Mid/Large Cap (<50B)
DAL,22749.95677090454,3621.1580000000004,19,38391021568,Upper Mid/Large Cap (<50B)
WEC,65727.7342258606,33371.916,96,38201106432,Upper Mid/Large Cap (<50B)
CCI,-5153.040899353027,946.9200000000001,15,38143082496,Upper Mid/Large Cap (<50B)
ODFL,10465.227322590938,5902.993495000001,100,37794541568,Upper Mid/Large Cap (<50B)
ROP,-2203.5372541503907,6379.292,99,37780738048,Upper Mid/Large Cap (<50B)
NUE,40094.51068785095,18849.724000000002,115,37413810176,Upper Mid/Large Cap (<50B)
KDP,111459.21159186553,120643.752,85,37241036800,Upper Mid/Large Cap (<50B)
TPL,-48830.60511029273,13320.138996,63,36616925184,Upper Mid/Large Cap (<50B)
LVS,-4500.46293182373,994.8,17,36294897664,Upper Mid/Large Cap (<50B)
MLM,21558.606441040036,3495.27,89,35207159808,Upper Mid/Large Cap (<50B)
VMC,-13764.688222351075,2420.31,34,35070185472,Upper Mid/Large Cap (<50B)
ADM,84828.32794288636,36662.415,112,34636910592,Upper Mid/Large Cap (<50B)
STT,65605.82610290527,33362.18,104,33891772416,Upper Mid/Large Cap (<50B)
RMD,-45227.26791015625,10306.84,97,33694857216,Upper Mid/Large Cap (<50B)
ARES,67883.30812441254,30938.189000000002,101,33674358784,Upper Mid/Large Cap (<50B)
KVUE,-1727.5773838043212,1546.2,3,33523642368,Upper Mid/Large Cap (<50B)
MCHP,14151.19579432678,11387.082,46,33517930496,Upper Mid/Large Cap (<50B)
PAYX,105633.33044540405,33408.87,123,33243975680,Upper Mid/Large Cap (<50B)
CCL,1486.587210845947,529.2,5,33229498368,Upper Mid/Large Cap (<50B)
KMB,4341.836067810059,2697.39,6,32807204864,Upper Mid/Large Cap (<50B)
NRG,3833.583655464174,12350.712,85,32465946624,Upper Mid/Large Cap (<50B)
IR,3522.4178974914557,48.78,1,32450416640,Upper Mid/Large Cap (<50B)
OTIS,32413.348794860838,17026.67,75,32420462592,Upper Mid/Large Cap (<50B)
GEHC,20192.161787872315,1200.88,42,32253409280,Upper Mid/Large Cap (<50B)
PRU,61270.48080673218,48743.4,122,32015998976,Upper Mid/Large Cap (<50B)
EL,323.1142044067383,0.0,2,31788570624,Upper Mid/Large Cap (<50B)
EME,86586.93414489746,3395.42,132,31779733504,Upper Mid/Large Cap (<50B)
IRM,62749.19020153808,50010.418,123,31607031808,Upper Mid/Large Cap (<50B)
A,25136.99947021484,6924.6050000000005,111,31539449856,Upper Mid/Large Cap (<50B)
EXR,45660.41304809571,40179.57,89,31326943232,Upper Mid/Large Cap (<50B)
ATO,7056.866313018799,1191.415,17,31198476288,Upper Mid/Large Cap (<50B)
DTE,-2996.5422194482417,7047.0562150000005,58,31081209856,Upper Mid/Large Cap (<50B)
AEE,-37.96775817871094,0.0,1,30970603520,Upper Mid/Large Cap (<50B)
HBAN,63593.15355834961,50329.225,133,30873141248,Upper Mid/Large Cap (<50B)
VICI,37040.25826950073,30796.825,29,30375620608,Upper Mid/Large Cap (<50B)
CBOE,-1905.179100036621,0.0,4,30343163904,Upper Mid/Large Cap (<50B)
MTB,-9402.705825805664,46.5,5,30163351552,Upper Mid/Large Cap (<50B)
FE,69414.52617744445,49456.29,123,29567045632,Upper Mid/Large Cap (<50B)
XYL,2093.521591644287,475.23,8,29187069952,Upper Mid/Large Cap (<50B)
CTSH,12207.654734344484,7809.72,55,29137367040,Upper Mid/Large Cap (<50B)
TPR,2617.8479161682153,28460.244,92,29080731648,Upper Mid/Large Cap (<50B)
DG,13446.64819534302,17266.079999999998,93,29020469248,Upper Mid/Large Cap (<50B)
PPL,18299.612287216187,10972.305,18,28932825088,Upper Mid/Large Cap (<50B)
RJF,5380.167239162474,10848.138257,80,28824682496,Upper Mid/Large Cap (<50B)
HPE,22799.100928980897,14831.827172,35,28799223808,Upper Mid/Large Cap (<50B)
CNP,55237.114797050475,31613.782,112,28789723136,Upper Mid/Large Cap (<50B)
DVN,-2307.719509105682,2333.52,15,28687224832,Upper Mid/Large Cap (<50B)
VRSK,-8280.100855102537,711.51,17,28044550144,Upper Mid/Large Cap (<50B)
EXPE,-2623.2442514038084,993.84,12,27983288320,Upper Mid/Large Cap (<50B)
DOV,-16924.7258221897,10645.655041,78,27969654784,Upper Mid/Large Cap (<50B)
WTW,8766.891162414546,13861.52,115,27723055104,Upper Mid/Large Cap (<50B)
EIX,-17528.92688250732,33207.648,73,27601053696,Upper Mid/Large Cap (<50B)
ES,-8302.528134124757,7509.457,18,27448801280,Upper Mid/Large Cap (<50B)
AWK,4513.500555725097,599.095,27,27268700160,Upper Mid/Large Cap (<50B)
JBL,-28991.407341880804,3326.08,86,26775175168,Upper Mid/Large Cap (<50B)
KHC,7046.287934875489,16660.1,48,26728955904,Upper Mid/Large Cap (<50B)
ROL,953.6552352905272,0.0,1,26522615808,Upper Mid/Large Cap (<50B)
DOW,27332.26967086792,10536.4,33,26352461824,Upper Mid/Large Cap (<50B)
STZ,3419.1202239990234,20921.5,122,26138454016,Upper Mid/Large Cap (<50B)
WRB,10496.975088406192,15045.652633,83,26130257920,Upper Mid/Large Cap (<50B)
FIS,2220.92905807495,7030.25,31,25737183232,Upper Mid/Large Cap (<50B)
CINF,13487.150315093992,11467.050000000001,36,25558953984,Upper Mid/Large Cap (<50B)
NTRS,-20084.386541137697,13248.49,26,25443543040,Upper Mid/Large Cap (<50B)
TSCO,385.7372646331787,0.0,7,24864835584,Upper Mid/Large Cap (<50B)
HUBB,-616.843505859375,0.0,1,24846669824,Upper Mid/Large Cap (<50B)
OMC,10861.67192687988,37866.4,116,24476168192,Upper Mid/Large Cap (<50B)
FOXA,4499.38357307434,1732.52,14,24413478912,Upper Mid/Large Cap (<50B)
CTRA,-1818.0804151153566,4023.6400000000003,14,24410617856,Upper Mid/Large Cap (<50B)
CFG,73170.89652988434,49238.47,122,23896612864,Upper Mid/Large Cap (<50B)
CMS,24303.03605027771,17873.256,42,23848738816,Upper Mid/Large Cap (<50B)
DRI,65248.70252655029,34821.23,113,23538415616,Upper Mid/Large Cap (<50B)
EQR,4360.5226389770505,24253.588,79,23524392960,Upper Mid/Large Cap (<50B)
LEN,33620.86722681225,11621.238538,80,23514107904,Upper Mid/Large Cap (<50B)
CHD,27768.57650970459,4343.6775,56,23472715776,Upper Mid/Large Cap (<50B)
BRO,37335.19596012878,5853.9255,96,23305383936,Upper Mid/Large Cap (<50B)
LYB,38980.8092628479,24995.6,62,23292891136,Upper Mid/Large Cap (<50B)
SYF,7248.216657562256,13504.17,99,22971713536,Upper Mid/Large Cap (<50B)
PHM,-46956.43313697816,5367.46,39,22923560960,Upper Mid/Large Cap (<50B)
Q,5271.550506591797,0.0,1,22863304704,Upper Mid/Large Cap (<50B)
NI,52900.61768600464,26983.845,109,22677688320,Upper Mid/Large Cap (<50B)
EFX,27595.233544311523,2597.46,41,22554773504,Upper Mid/Large Cap (<50B)
VLTO,1830.609603881836,0.0,2,22396420096,Upper Mid/Large Cap (<50B)
L,49173.23258303833,4019.967,105,22323365888,Upper Mid/Large Cap (<50B)
LDOS,1464.2574847412109,3130.32,18,22228901888,Upper Mid/Large Cap (<50B)
DGX,27285.551183471678,21632.260000000002,106,22215098368,Upper Mid/Large Cap (<50B)
RF,5815.419598083496,758.105,1,21921912832,Upper Mid/Large Cap (<50B)
LH,-17107.16848932129,3794.309065,13,21869019136,Upper Mid/Large Cap (<50B)
WSM,92705.28801925661,21137.704999999998,120,21487335424,Upper Mid/Large Cap (<50B)
TSN,-7983.305227661132,5119.6,40,21237403648,Upper Mid/Large Cap (<50B)
STE,22391.536385192874,9965.64,107,21059403776,Upper Mid/Large Cap (<50B)
GIS,30819.782043151856,38995.68,92,21012463616,Upper Mid/Large Cap (<50B)
SW,12105.160776229859,21000.896,28,20839086080,Upper Mid/Large Cap (<50B)
BR,-23192.505966033936,9562.035,54,20818630656,Upper Mid/Large Cap (<50B)
KEY,-1199.931386299133,3542.305,29,20594337792,Upper Mid/Large Cap (<50B)
CF,-7902.269804382324,1431.6,14,20209635328,Upper Mid/Large Cap (<50B)
CHRW,-58108.51182922364,22940.16,79,20093181952,Upper Mid/Large Cap (<50B)
RL,7601.514066223145,3085.8289999999997,27,20055687168,Upper Mid/Large Cap (<50B)
LUV,3210.8771892547597,5974.975,13,20039759872,Upper Mid/Large Cap (<50B)
HUM,-70.30261645507926,1655.173,22,19950190592,Upper Mid/Large Cap (<50B)
SBAC,-25232.144099731446,11931.23,48,19867176960,Upper Mid/Large Cap (<50B)
IP,-21822.70975151196,30165.794067,66,19722735616,Upper Mid/Large Cap (<50B)
NTAP,62190.322223968506,26003.82,105,19540635648,Upper Mid/Large Cap (<50B)
TROW,47990.67581878662,43718.36,84,19333613568,Upper Mid/Large Cap (<50B)
PKG,-3724.7472274780266,4070.95,18,19300079616,Upper Mid/Large Cap (<50B)
GPN,-17794.364409545902,8948.446,94,19220822016,Upper Mid/Large Cap (<50B)
SNA,67652.5058001709,21938.920000000002,88,19113297920,Upper Mid/Large Cap (<50B)
EXPD,-1361.9595571899415,288.86,9,19104684032,Upper Mid/Large Cap (<50B)
JBHT,28817.442806091305,6092.59,37,19067473920,Upper Mid/Large Cap (<50B)
EVRG,-748.1916058349609,653.47,3,19028166656,Upper Mid/Large Cap (<50B)
PFG,46298.760312805185,41018.76,98,18856323072,Upper Mid/Large Cap (<50B)
DD,-530.737204607544,150.390315,7,18811992064,Upper Mid/Large Cap (<50B)
AMCR,25153.29247769165,28275.613,37,18745194496,Upper Mid/Large Cap (<50B)
LNT,48808.62282655334,37679.401,129,18717282304,Upper Mid/Large Cap (<50B)
ALB,-12339.593753967281,582.715,9,18645786624,Upper Mid/Large Cap (<50B)
ZBH,36999.79332190429,5573.91762,85,18470520832,Upper Mid/Large Cap (<50B)
IFF,18913.342359924318,21578.9,97,17826869248,Upper Mid/Large Cap (<50B)
HPQ,-9330.234285552979,4709.267,5,17377447936,Upper Mid/Large Cap (<50B)
ESS,17515.480881347656,11773.64,28,17281529856,Upper Mid/Large Cap (<50B)
FTV,-10151.046261398315,741.479875,25,17236785152,Upper Mid/Large Cap (<50B)
WST,12043.362221069332,2547.07,101,16958180352,Upper Mid/Large Cap (<50B)
WY,-7635.7899509429935,35449.9,84,16911397888,Upper Mid/Large Cap (<50B)
LII,27717.25034942627,7913.150000000001,99,16868605952,Upper Mid/Large Cap (<50B)
BALL,24882.726816558832,11573.775,93,16666124288,Upper Mid/Large Cap (<50B)
HII,63703.40465545654,24844.25,118,16313577472,Upper Mid/Large Cap (<50B)
TXT,-18563.76502960205,1162.82,122,15857489920,Upper Mid/Large Cap (<50B)
MKC,-27675.054999084467,21946.655,108,15647264768,Upper Mid/Large Cap (<50B)
VTRS,3012.2334949874885,7053.24,10,15560411136,Upper Mid/Large Cap (<50B)
KIM,1483.9143878936768,558.2,1,15514515456,Upper Mid/Large Cap (<50B)
TKO,53837.05604358672,13914.96,97,15355924480,Upper Mid/Large Cap (<50B)
INVH,8104.405617370604,11501.14,21,15319385088,Upper Mid/Large Cap (<50B)
APTV,457.1253031689454,32.330305,4,15233598464,Upper Mid/Large Cap (<50B)
MAA,82046.72880233765,38362.015,92,15161378816,Upper Mid/Large Cap (<50B)
CDW,17404.941787353517,3575.916,55,15123296256,Upper Mid/Large Cap (<50B)
J,2246.3052505371106,8514.506575,90,15122388992,Upper Mid/Large Cap (<50B)
NDSN,-715.8732196044919,1367.1299999999999,13,14926018560,Upper Mid/Large Cap (<50B)
NWS,3115.0789649963385,890.3000000000002,2,14787336192,Upper Mid/Large Cap (<50B)
GPC,11796.626781494138,7193.507,30,14710771712,Upper Mid/Large Cap (<50B)
PNR,22676.247492763796,14108.496438,116,14447942656,Upper Mid/Large Cap (<50B)
IEX,37225.398724670405,7586.12,64,14085167104,Upper Mid/Large Cap (<50B)
COO,3084.769500122071,67.2975,41,13642398720,Upper Mid/Large Cap (<50B)
NWSA,11650.8028049469,2904.0,10,13582952448,Upper Mid/Large Cap (<50B)
CLX,51180.565418090824,38428.59,116,13500787712,Upper Mid/Large Cap (<50B)
UDR,82824.65717022706,35465.953,91,13331477504,Upper Mid/Large Cap (<50B)
BBY,6603.790714721679,11812.23,14,13150237696,Upper Mid/Large Cap (<50B)
HAS,-29.09583282470703,0.0,3,13140049920,Upper Mid/Large Cap (<50B)
AVY,-6215.141551818848,805.41,8,13128445952,Upper Mid/Large Cap (<50B)
EG,32.38655090332031,0.0,2,12939388928,Upper Mid/Large Cap (<50B)
ERIE,28492.261360900877,9421.293,65,12910891008,Upper Mid/Large Cap (<50B)
HST,-5286.816123962402,0.0,1,12895716352,Upper Mid/Large Cap (<50B)
GEN,329.347303390503,0.0,3,12753688576,Upper Mid/Large Cap (<50B)
